|        in        |address |loa|       out        |
| 0000000000000001 | 000000 | 1 | 0000000000000001 |
| 0000000000000010 | 000001 | 1 | 0000000000000010 |
| 0000000000000100 | 000010 | 1 | 0000000000000100 |
| 0000000000001000 | 000011 | 1 | 0000000000001000 |
| 0000000000010000 | 000100 | 1 | 0000000000010000 |
| 0000000000100000 | 000101 | 1 | 0000000000100000 |
| 0000000001000000 | 000110 | 1 | 0000000001000000 |
| 0000000010000000 | 000111 | 1 | 0000000010000000 |
| 0000000010000000 | 000000 | 0 | 0000000000000001 |
| 0000000010000000 | 000001 | 0 | 0000000000000010 |
| 0000000010000000 | 000010 | 0 | 0000000000000100 |
| 0000000010000000 | 000011 | 0 | 0000000000001000 |
| 0000000010000000 | 000100 | 0 | 0000000000010000 |
| 0000000010000000 | 000101 | 0 | 0000000000100000 |
| 0000000010000000 | 000110 | 0 | 0000000001000000 |
| 0000000010000000 | 000111 | 0 | 0000000010000000 |
| 1111111111111111 | 111111 | 1 | 1111111111111111 |
| 1111111111111111 | 111111 | 0 | 1111111111111111 |
